stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening C:\I2P1_Final_project-master\FINAL\allegro5.cfg r
system   D            wsystem.c:874  _al_win_safe_load_library        [   0.00000] PathFindOnPath found: C:\windows\system32\shcore.dll
system   D            wsystem.c:780  load_library_at_path             [   0.00000] Calling LoadLibrary C:\windows\system32\shcore.dll
system   I            wsystem.c:783  load_library_at_path             [   0.00000] Loaded C:\windows\system32\shcore.dll
system   I             system.c:271  al_install_system                [   0.00000] Allegro version: 5.2.7
audio-dsound I           dsound.cpp:271  _dsound_open                     [   0.00024] Starting DirectSound...
audio-dsound D           dsound.cpp:280  _dsound_open                     [   0.02211] DirectSoundCreate8 succeeded
audio-dsound I           dsound.cpp:73   get_window                       [   0.02217] Using desktop window: 0000000000010010
audio    I              audio.c:347  do_install_audio                 [   0.02234] Using DirectSound driver
system   D            wsystem.c:874  _al_win_safe_load_library        [   0.02260] PathFindOnPath found: C:\windows\system32\d3d9.dll
system   D            wsystem.c:780  load_library_at_path             [   0.02264] Calling LoadLibrary C:\windows\system32\d3d9.dll
system   I            wsystem.c:783  load_library_at_path             [   0.02413] Loaded C:\windows\system32\d3d9.dll
d3d      I         d3d_disp.cpp:684  d3d_init_display                 [   0.04880] Render-to-texture: 1
d3d      I         d3d_disp.cpp:1782 d3d_create_display_locked        [   0.05003] faux_fullscreen=0
d3d      D         d3d_disp.cpp:1783 d3d_create_display_locked        [   0.05005] al_display=0000000000eab6b0
d3d      D         d3d_disp.cpp:1784 d3d_create_display_locked        [   0.05009] al_display->vt=0000000000eab540
d3d      I d3d_display_formats.cpp:144  _al_d3d_generate_display_format_list [   0.05553] found 288 format combinations
display  D   display_settings.c:212  debug_display_settings           [   0.05560] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.05562] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.05563] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.05564] Score is : 897
